,0
1078,31
1079,32
1080,3
1081,22
1082,27
1083,1
1084,22
1085,22
1086,3
1087,22
1088,32
1089,32
1090,17
1091,22
1092,29
1093,10
1094,25
1095,27
1096,34
1097,31
1098,9
1099,9
1100,13
1101,17
1102,10
1103,3
1104,5
1105,1
1106,10
1107,9
1108,9
1109,9
1110,9
1111,7
1112,4
1113,8
1114,9
1115,3
1116,9
1117,3
1118,3
1119,9
1120,3
1121,17
1122,7
1123,28
1124,9
1125,9
1126,30
1127,9
1128,9
1129,9
1130,13
1131,9
1132,9
1133,13
1134,22
1135,3
1136,22
1137,7
1138,9
1139,13
1140,26
1141,9
1142,3
1143,3
1144,3
1145,3
1146,9
1147,2
1148,26
1149,3
1150,7
1151,28
1152,22
1153,31
1154,21
1155,31
1156,3
1157,3
1158,9
1159,17
1160,31
1161,31
1162,3
1163,31
1164,28
1165,9
1166,27
1167,9
1168,18
1169,14
1170,0
1171,3
1172,0
1173,19
1174,34
1175,25
1176,3
1177,26
1178,9
1179,25
1180,9
1181,30
1182,4
1183,24
1184,16
1185,9
1186,31
1187,12
1188,7
1189,7
1190,9
1191,31
1192,10
1193,3
1194,14
1195,14
1196,18
1197,7
1198,22
1199,3
1200,3
1201,29
1202,9
1203,21
1204,3
1205,8
1206,33
1207,22
1208,29
1209,29
1210,13
1211,8
1212,3
1213,3
1214,3
1215,1
1216,0
1217,25
1218,2
1219,18
1220,19
1221,2
1222,9
1223,3
1224,9
1225,14
1226,7
1227,1
1228,3
1229,3
1230,31
1231,9
1232,30
1233,22
1234,25
1235,28
1236,31
1237,8
1238,3
1239,0
1240,3
1241,30
1242,25
1243,9
1244,25
1245,31
1246,9
1247,8
1248,3
1249,3
1250,9
1251,31
1252,33
1253,3
1254,29
1255,3
1256,9
1257,9
1258,9
1259,9
1260,3
1261,3
1262,7
1263,3
1264,31
1265,10
1266,3
1267,18
1268,28
