,0
1243,5
1244,7
1245,7
1246,5
1247,14
1248,26
1249,26
1250,5
1251,6
1252,25
1253,26
1254,22
1255,26
1256,5
1257,5
1258,5
1259,5
1260,26
1261,26
1262,20
1263,26
1264,6
1265,5
1266,26
1267,29
1268,12
