,0,1,pdf_names,year,language,authors,title
46,-19.89266,-11.717575,pdf_46.txt,2018,fr,"Haikel Megrahi, Nouha Omrane, Rakia Jaziri",NFB: protocole de Notarisation des Documents dans la Blockchain
47,4.2017345,-7.953385,pdf_47.txt,2018,fr,"Zaineb Chelly Dagdia, Christine Zarges, Gaël Beck, Mustapha Lebbah",Nouveau Modèle de Sélection de Caractéristiques basé sur la Théorie des Ensembles Approximatifs pour les Données Massives
48,27.444794,-1.7651057,pdf_48.txt,2018,fr,"Erick Stattner, Reynald Eugenie, Martine Collard",PALM: Un algorithme parallèle pour extraire des clusters de liens dans les réseaux sociaux
49,-3.523423,8.571036,pdf_49.txt,2018,fr,"Robin Brochier, Adrien Guille, Julien Velcin, Benjamin Rothan, François Di Cioccio",Peerus Review: Un outil de recherche d'experts scientifiques
50,-0.28356722,-7.3660345,pdf_50.txt,2018,fr,"Colin Leverger, Régis Marguerie, Vincent Lemaire, Thomas Guyet, Simon Malinowski",PerForecast : un outil de prévision de l'évolution de séries temporelles pour le planning capacitaire
51,11.85645,8.166918,pdf_51.txt,2018,fr,"Pierrick Bruneau, Philippe Pinheiro, Yoann Didry",Prédiction du Rayonnement Solaire par Apprentissage Automatique
52,6.1653566,30.399017,pdf_52.txt,2018,fr,"Jannaï Tokotoko, Frédéric Flouvat, Claire Goiran, Laetitia Hédouin, Antoine Collin, Nazha Selmaoui-Folcher",Prétraitement de données spatialement imprécises pour une classification supervisée basée sur les images satellitaires
53,-8.713405,-0.8334047,pdf_53.txt,2018,fr,"Pascal Cuxac, Nicolas Kieffer",Prise en compte de la structure des documents pour une indexation performante
54,8.432024,20.917278,pdf_54.txt,2018,fr,"Alexandre Blansché, Xavier Mazur",Propositions pour améliorer une méthode de prédiction du succès d'une campagne de financement participatif
55,0.5166693,-9.9894495,pdf_55.txt,2018,fr,Antoine Cornuéjols,Qu'est-ce qu'un bon système d'apprentissage ? La réponse a évolué avec le temps. Et demain?
56,-33.58737,-30.783863,pdf_56.txt,2018,fr,"Haithem Ghorbel, Nouha Othman, Rim Faiz",Recommendation-based Keyword Search over Relational Databases
57,-8.647313,-18.875746,pdf_57.txt,2018,fr,Christopher Kermorvant,Reconnaissance et indexation automatique des registres de la chancellerie française (1300-1483)
58,-32.363487,-29.726997,pdf_58.txt,2018,fr,"Md Shadman Rafid, Mohammad Mazedul Islam, Md Naimul Hoque, Chowdhury Farhan Ahmed",Reframing for Non-Linear Dataset Shift
59,12.319256,11.824052,pdf_59.txt,2018,fr,"Vivien Kraus, Khalid Benabdeslem, Frederic Cherqui",Régression Laplacienne semi-supervisée pour la reconstitution des dates de pose des réseaux d'assainissement
60,9.032079,7.4126945,pdf_60.txt,2018,fr,"Salma Chaieb, Véronique Delcroix, Ali Ben Mrad, Emmanuelle Grislin-Le Strugeon",Réseau bayésien pour la gestion de l'obsolescence dans une base d'informations en vue de l'évaluation du risque de chute des personnes âgées
61,-27.305166,10.740754,pdf_61.txt,2018,fr,"Roberto Marroquin, Julien Dubois, Christophe Nicolle",Savoir au dela de voir: vision artificielle et raisonnement logique
62,-24.075798,5.6701765,pdf_62.txt,2018,fr,"Emna Amdouni, Bernard Gibaud",Sémantique des données d'observation en neuro-imagerie selon un point de vue réaliste
63,-34.25957,-32.671635,pdf_63.txt,2018,fr,"Gamze Saygi, Jean-Yves Blaise, Iwona Dudek",Temporal hints in the cultural heritage discourse: what can an ontology of time as it is worded reveal?
64,26.351107,24.483398,pdf_64.txt,2018,fr,"Aichetou Bouchareb, Marc Boullé, Fabrice Rossi, Fabrice Clérot",Un modèle Bayésien de co-clustering de données mixtes
65,-1.9679068,6.3756933,pdf_65.txt,2018,fr,"Hemza Ficel, Mohamed Ramzi Haddad, Hajer Baazaoui Zghal",Une approche sémantique hybride pour la recommandation des articles d'actualité à large échelle
66,-3.1122725,-17.146318,pdf_66.txt,2018,fr,"Luciano Gervasoni, Serge Fenet, Peter Sturm",Une méthode pour l'estimation désagrégée de données de population à l'aide de données ouvertes
67,-8.637621,-7.7219477,pdf_67.txt,2018,fr,"Tita Kyriacopoulou, Claude Martineau, Cristian Martinez",UNITEX/GRAMLAB: plateforme libre basée sur des lexiques et des grammaires pour le traitement des corpus textuels
68,-13.052759,-4.495495,pdf_68.txt,2018,fr,"Thomas Raimbault, Abdellah Sabry, Sonia Djebali",Universal-endpoint.com : une plateforme d'accès simple au Web des Données
69,-10.624763,24.759573,pdf_69.txt,2018,fr,"Clément Christophe, Julien Velcin, Manel Boumghar",Utilisation de techniques de modélisation thématiques pour la détection de nouveauté dans des flux de données textuelles.
70,7.862191,-4.9693637,pdf_70.txt,2018,fr,"Rabia Azzi, Sylvie Desprès, Jérôme Nobécourt",Visualisation dynamique de connaissances : application aux interactions entre facteurs de risque des maladies cardiovasculaires
71,-32.753353,-33.057552,pdf_71.txt,2017,fr,"Ioannis Partalas, Cédric Lopez, Pierre-Alain Avouac, Matthieu Osmuk, Domoina Rabarijaona, Dana Popovici, Frédérique Segond",A Hybrid Approach for Detecting Influencers in Social Media
72,9.9460945,34.00856,pdf_72.txt,2017,fr,"Lynda Khiali, Dino Ienco, Maguelonne Teisseire",Analyse des dynamiques spatio-temporelles à partir de séries temporelles d'images satellitaires
73,-9.441184,6.7842727,pdf_73.txt,2017,fr,"Nicolas Médoc, Mohammad Ghoniem, Mohamed Nadif",Analyse exploratoire de corpus textuels pour le journalisme d'investigation
74,29.616688,27.856018,pdf_74.txt,2017,fr,"Françoise Fessant, Tarek Benkhelif, Fabrice Clérot",Anonymiser des données multidimensionnelles à l'aide du coclustering
75,29.680706,27.00716,pdf_75.txt,2017,fr,"Aichetou Bouchareb, Marc Boullé, Fabrice Clérot, Fabrice Rossi",Application du coclustering à l'analyse exploratoire d'une table de données
76,-3.8934312,-6.1390452,pdf_76.txt,2017,fr,"Pierre-René Lhérisson, Fabrice Muhlenbach, Pierre Maret",Application mobile pour l'évaluation d'un algorithme de calcul de distance entre des items musicaux
77,-6.5137296,17.558064,pdf_77.txt,2017,fr,"Gaëtan Caillaut, Guillaume Cleuziou",Apprentissage d'espaces prétopologiques dans un cadre multi-instance pour la structuration de données
78,-11.484257,14.076411,pdf_78.txt,2017,fr,"Oussama Ahmia, Nicolas Béchet, Pierre-François Marteau",Apprentissage de structures séquentielles pour l'extraction d'entités et de relations dans des textes d'appels d'offres
79,4.2637854,-5.567428,pdf_79.txt,2017,fr,"Roland Kotto-Kombi, Nicolas Lumineau, Phillipe Lamarre",Approche préventive pour une gestion élastique du traitement parallèle et distribué de flux de données
80,8.478175,10.674647,pdf_80.txt,2017,fr,"William Raynaut, Chantal Soulé-Dupuy, Nathalie Vallès-Parlangeau",Cadre d'Evaluation pour la Méta Analyse de Données
81,19.054884,18.99991,pdf_81.txt,2017,fr,"Julien Ah-Pine, Xinyu Wang",Classification ascendante hiérarchique à noyaux et une application aux données textuelles
82,21.847328,24.513899,pdf_82.txt,2017,fr,"François Meunier, Christophe Marsala, Laurent Castanié, Bruno Conche",Classification d'objets 3D par extraction aléatoire de sous-parties discriminantes pour l'étude du sous-sol en prospection pétrolière
83,3.509851,21.338943,pdf_83.txt,2017,fr,"Khalil Laghmari, Christophe Marsala, Mohammed Ramdani",Classification multi-labels graduée: Apprendre les relations entre les labels ou limiter la propagation d'erreur ?
84,4.7577634,34.928387,pdf_84.txt,2017,fr,"Ayoub Karine, Abdelmalek Toumi, Ali Khenchaf, Mohammed El Hassouni",Classification parcimonieuse pour l'aide à la reconnaissance de cibles radar
85,25.37925,19.952808,pdf_85.txt,2017,fr,"Aichetou Bouchareb, Marc Boullé, Fabrice Rossi",Co-clustering de données mixtes à base des modèles de mélange
